zone,sample_id,nitrogen,phosphorus,potassium,ph,ec,moisture,temperature,status,imbalance_type,timestamp
A,S_A_289,56.76,33.19,63.17,5.77,26.66,59.71,26.5,Unstable,Variable Stability,1777442851
A,S_A_931,45.91,27.84,44.49,6.34,0.87,62.6,29.0,Unstable,Potassium Imbalance (Low),1775131651
C,S_C_510,-31.66,-2.17,-32.06,8.31,-7.09,37.06,36.1,Stable,Acidic Trend,1776647251
C,S_C_1186,36.4,10.97,29.91,4.41,873.69,17.11,37.2,Stable,Acidic Trend,1774213651
D,S_D_1057,47.63,38.62,30.28,5.43,1051.66,79.33,22.5,Unstable,Acidic Trend,1774678051
C,S_C_485,9.35,10.5,-5.08,4.2,-51.64,-16.44,20.9,Unstable,Acidic Trend,1776737251
C,S_C_978,30.99,20.95,93.13,6.52,-206.96,35.29,45.3,Unstable,Variable Stability,1774962451
C,S_C_821,0.97,2.88,-40.0,4.07,410.07,40.37,17.0,Unstable,Acidic Trend,1775527651
E,S_E_645,27.28,12.66,61.18,5.66,2032.49,110.25,28.5,Unstable,Acidic Trend,1776161251
C,S_C_601,-50.59,49.76,20.83,5.33,245.42,76.01,19.2,Stable,Acidic Trend,1776319651
D,S_D_851,22.47,51.8,-25.85,7.3,2934.03,135.44,42.7,Unstable,Nitrogen Imbalance (Low),1775419651
D,S_D_1098,22.5,25.25,65.17,6.45,171.32,107.06,15.0,Unstable,Nitrogen Imbalance (Low),1774530451
E,S_E_1114,38.31,-8.83,41.94,7.95,671.13,49.16,8.0,Stable,Stable / Optimal,1774472851
A,S_A_943,47.89,25.05,87.79,5.35,583.07,32.12,29.2,Unstable,Acidic Trend,1775088451
B,S_B_1155,29.66,18.9,59.66,5.26,139.93,37.92,23.3,Unstable,Acidic Trend,1774325251
D,S_D_1165,63.48,22.2,50.51,6.04,117.23,76.15,17.9,Unstable,Variable Stability,1774289251
E,S_E_989,24.39,25.18,-7.82,6.07,1321.45,50.55,10.9,Unstable,Nitrogen Imbalance (Low),1774922851
E,S_E_794,26.03,22.13,80.8,6.65,844.59,41.83,36.0,Stable,Nitrogen Imbalance (Low),1775624851
B,S_B_499,31.86,18.3,92.34,6.49,286.75,43.15,26.4,Unstable,Phosphorus Imbalance (Low),1776686851
E,S_E_847,46.48,18.68,52.63,5.07,-572.61,80.47,35.2,Stable,Acidic Trend,1775434051
E,S_E_400,2.83,6.85,57.46,6.77,2057.62,102.85,12.7,Unstable,Variable Stability,1777043251
C,S_C_1146,47.04,-17.92,114.01,3.5,-44.56,-7.07,23.4,Stable,Acidic Trend,1774357651
D,S_D_378,28.65,54.35,68.45,7.77,-115.22,60.09,35.6,Stable,Phosphorus Imbalance (Low),1777122451
E,S_E_215,33.57,65.18,51.5,5.96,1577.44,75.46,19.9,Unstable,High Salinity Trend,1777709251
A,S_A_986,35.04,28.0,67.02,6.93,435.13,49.55,26.2,Stable,Stable / Optimal,1774933651
E,S_E_479,85.43,20.65,65.0,7.42,1491.39,73.91,36.6,Unstable,Variable Stability,1776758851
C,S_C_708,46.32,20.34,45.52,4.38,953.1,32.51,29.5,Unstable,Acidic Trend,1775934451
C,S_C_766,7.09,-3.32,42.55,5.96,571.03,45.83,57.9,Unstable,Nitrogen Imbalance (Low),1775725651
E,S_E_927,29.22,10.14,20.86,5.15,1242.68,68.32,26.2,Unstable,Acidic Trend,1775146051
A,S_A_982,51.97,28.24,81.15,6.19,580.08,56.33,29.0,Stable,High Salinity Trend,1774948051
C,S_C_1129,16.57,-7.16,-2.71,3.5,19.37,2.35,27.8,Stable,Acidic Trend,1774418851
C,S_C_863,71.89,-8.47,45.29,5.04,2483.84,99.13,31.7,Unstable,Acidic Trend,1775376451
E,S_E_659,61.75,36.53,30.36,6.71,1241.65,64.11,16.1,Unstable,Potassium Imbalance (Low),1776110851
C,S_C_1043,20.0,-6.48,22.29,4.41,300.49,40.57,49.8,Unstable,Acidic Trend,1774728451
D,S_D_697,121.81,0.8,86.54,5.47,1979.6,67.5,21.0,Unstable,Acidic Trend,1775974051
C,S_C_1098,36.12,-11.49,-19.68,5.47,845.28,-9.89,42.8,Unstable,Acidic Trend,1774530451
B,S_B_274,70.33,25.78,64.97,7.19,309.52,51.72,27.7,Unstable,Phosphorus Imbalance (Low),1777496851
D,S_D_951,26.37,32.84,-15.35,4.27,-369.8,71.61,18.6,Unstable,Acidic Trend,1775059651
D,S_D_858,37.17,21.54,21.44,4.93,73.59,89.18,15.3,Unstable,Acidic Trend,1775394451
E,S_E_083,82.72,24.65,4.13,7.4,876.19,72.51,39.3,Unstable,Potassium Imbalance (Low),1778184451
B,S_B_258,48.21,31.23,40.41,6.52,278.15,35.74,29.8,Unstable,Variable Stability,1777554451
B,S_B_196,60.06,30.53,90.53,6.7,495.89,49.03,27.3,Unstable,High Salinity Trend,1777777651
A,S_A_265,29.91,21.89,34.42,6.21,717.69,45.77,25.4,Stable,Nitrogen Imbalance (Low),1777529251
C,S_C_349,50.16,31.57,43.26,4.84,-63.91,13.99,13.0,Unstable,Acidic Trend,1777226851
C,S_C_994,46.21,-20.67,58.77,3.62,-927.01,-3.76,34.4,Unstable,Variable Stability,1774904851
C,S_C_293,11.61,-32.76,79.85,3.5,-702.91,18.66,49.8,Unstable,Acidic Trend,1777428451
A,S_A_930,68.11,29.83,53.56,6.8,292.82,56.47,31.3,Unstable,Variable Stability,1775135251
D,S_D_621,32.12,47.59,3.89,6.47,-42.56,83.23,30.4,Unstable,Potassium Imbalance (Low),1776247651
E,S_E_904,22.22,10.64,83.59,6.91,1350.23,73.36,26.3,Unstable,Nitrogen Imbalance (Low),1775228851
C,S_C_001,11.18,-16.42,83.09,5.12,5.65,74.23,21.5,Stable,Acidic Trend,1778479651
B,S_B_979,27.57,15.22,55.43,5.54,343.84,60.11,30.8,Stable,Stable / Optimal,1774958851
D,S_D_207,65.68,3.0,56.05,6.9,299.23,97.52,29.9,Unstable,Potassium Imbalance (Low),1777738051
A,S_A_247,54.08,13.49,75.83,5.63,1151.87,37.12,31.4,Unstable,Phosphorus Imbalance (Low),1777594051
B,S_B_395,40.87,20.4,43.36,5.48,681.77,61.98,21.4,Unstable,Phosphorus Imbalance (Low),1777061251
B,S_B_559,45.46,14.49,58.33,7.52,339.71,37.26,29.7,Stable,Acidic Trend,1776470851
E,S_E_1037,34.61,24.33,27.48,5.44,1478.64,50.83,22.9,Stable,Acidic Trend,1774750051
D,S_D_455,33.8,65.36,93.95,5.38,374.64,56.09,29.3,Unstable,Acidic Trend,1776845251
A,S_A_924,29.33,44.36,53.04,5.58,615.1,54.16,29.2,Unstable,Nitrogen Imbalance (Low),1775156851
C,S_C_923,6.0,6.68,-17.46,4.2,823.28,28.27,38.9,Stable,Acidic Trend,1775160451
A,S_A_269,50.68,31.63,40.54,6.49,813.12,73.54,34.2,Unstable,Variable Stability,1777514851
A,S_A_670,46.21,22.75,73.93,6.02,839.62,46.35,19.7,Unstable,Variable Stability,1776071251
D,S_D_657,21.83,17.47,64.8,7.06,1854.61,70.25,46.8,Unstable,Acidic Trend,1776118051
B,S_B_711,48.73,21.0,22.59,5.41,461.53,44.0,31.0,Unstable,Acidic Trend,1775923651
D,S_D_797,85.48,59.54,58.3,7.36,1098.15,44.08,35.1,Unstable,Variable Stability,1775614051
A,S_A_1153,44.55,33.06,58.77,6.26,629.43,31.72,19.7,Unstable,Variable Stability,1774332451
E,S_E_119,59.9,33.53,48.89,5.36,1836.02,59.58,44.0,Unstable,Acidic Trend,1778054851
E,S_E_973,61.08,18.66,65.58,7.92,533.91,104.26,31.6,Unstable,Variable Stability,1774980451
D,S_D_901,93.76,-5.04,70.13,5.46,961.45,82.38,23.2,Unstable,Variable Stability,1775239651
C,S_C_297,25.53,-4.01,22.78,4.33,131.49,25.65,36.1,Unstable,Acidic Trend,1777414051
C,S_C_192,-36.12,22.11,24.82,6.45,-131.34,20.5,31.6,Unstable,Nitrogen Imbalance (Low),1777792051
E,S_E_273,25.12,36.38,92.61,8.5,-275.68,64.93,25.3,Unstable,Variable Stability,1777500451
B,S_B_582,53.36,27.55,93.17,5.79,570.83,46.27,34.6,Unstable,Acidic Trend,1776388051
C,S_C_014,53.11,16.19,26.79,4.04,-83.25,55.46,23.2,Unstable,Acidic Trend,1778432851
C,S_C_614,31.36,10.37,-16.08,5.88,50.34,5.35,48.4,Unstable,Potassium Imbalance (Low),1776272851
E,S_E_439,102.74,22.52,46.37,7.03,140.48,86.15,30.5,Unstable,Variable Stability,1776902851
B,S_B_1108,27.12,20.4,61.15,6.35,389.2,46.79,24.2,Stable,Nitrogen Imbalance (Low),1774494451
D,S_D_223,58.28,29.27,83.95,6.57,-455.88,81.69,23.9,Unstable,Variable Stability,1777680451
A,S_A_688,63.0,15.15,80.03,5.9,299.08,60.88,27.5,Unstable,High Salinity Trend,1776006451
B,S_B_716,46.35,24.41,28.8,5.05,922.08,44.52,25.2,Unstable,Acidic Trend,1775905651
E,S_E_846,6.21,18.83,62.55,6.36,765.54,79.08,33.5,Unstable,Nitrogen Imbalance (Low),1775437651
A,S_A_613,50.96,32.41,65.7,6.2,456.87,55.53,27.9,Unstable,Variable Stability,1776276451
C,S_C_672,-0.8,-26.38,-3.25,7.1,-623.31,39.86,24.9,Unstable,Nitrogen Imbalance (Low),1776064051
C,S_C_1006,23.36,15.65,57.4,5.85,260.06,41.31,20.6,Unstable,Nitrogen Imbalance (Low),1774861651
B,S_B_1068,34.16,32.24,47.93,5.35,1131.44,57.82,24.1,Stable,Acidic Trend,1774638451
E,S_E_953,38.29,37.69,76.97,8.23,1763.96,79.39,23.6,Unstable,High Salinity Trend,1775052451
C,S_C_134,-62.97,0.06,87.3,3.5,-251.81,67.07,27.7,Stable,Acidic Trend,1778000851
A,S_A_040,25.35,18.31,46.8,6.37,1007.99,49.83,23.8,Stable,Nitrogen Imbalance (Low),1778339251
B,S_B_699,36.73,10.27,66.51,6.51,554.28,30.98,26.3,Stable,Acidic Trend,1775966851
B,S_B_450,65.33,32.04,50.4,5.77,339.98,50.36,26.7,Unstable,Variable Stability,1776863251
C,S_C_1072,20.65,-2.72,-27.69,3.5,-483.51,8.42,43.0,Unstable,Acidic Trend,1774624051
A,S_A_259,52.37,16.09,49.56,6.65,90.71,37.67,27.4,Unstable,Stable / Optimal,1777550851
C,S_C_525,65.81,-4.44,-18.01,4.65,1074.68,28.95,34.9,Unstable,Acidic Trend,1776593251
C,S_C_035,33.84,-22.53,33.08,5.51,1016.36,2.67,19.5,Unstable,Potassium Imbalance (Low),1778357251
A,S_A_848,59.93,31.41,66.62,6.0,643.57,43.42,31.6,Unstable,Variable Stability,1775430451
C,S_C_423,7.75,28.49,27.32,4.87,582.54,30.1,38.9,Unstable,Acidic Trend,1776960451
D,S_D_802,57.74,13.68,51.66,7.59,2362.98,49.76,12.6,Unstable,Phosphorus Imbalance (Low),1775596051
E,S_E_285,72.62,31.09,54.12,6.58,1047.86,82.81,25.7,Unstable,Variable Stability,1777457251
D,S_D_355,70.91,31.21,105.04,7.69,1956.35,65.83,35.6,Unstable,Nitrogen Imbalance (Low),1777205251
D,S_D_042,82.42,23.59,57.64,6.82,-514.97,46.01,32.2,Unstable,Variable Stability,1778332051
B,S_B_034,42.1,18.48,45.39,7.53,814.44,70.68,33.1,Unstable,Variable Stability,1778360851
A,S_A_1128,40.91,23.49,86.4,6.76,666.1,65.38,23.2,Unstable,Variable Stability,1774422451
C,S_C_1090,12.54,-2.63,34.41,3.88,-24.2,37.54,38.5,Unstable,Acidic Trend,1774559251
B,S_B_768,67.74,35.37,69.58,6.09,523.66,37.29,29.3,Unstable,Variable Stability,1775718451
A,S_A_559,26.84,22.89,23.03,6.33,844.64,58.09,23.0,Unstable,Nitrogen Imbalance (Low),1776470851
A,S_A_905,29.07,27.43,50.76,6.49,949.47,43.85,30.6,Stable,Nitrogen Imbalance (Low),1775225251
C,S_C_215,-32.76,3.49,20.55,3.5,-74.52,67.38,31.3,Unstable,Acidic Trend,1777709251
A,S_A_485,45.92,40.17,53.99,6.92,227.85,43.0,34.5,Stable,Stable / Optimal,1776737251
B,S_B_1012,49.81,27.28,60.89,7.04,546.77,47.07,26.6,Unstable,Nitrogen Imbalance (Low),1774840051
B,S_B_121,58.8,19.69,74.86,7.1,656.85,57.94,19.3,Stable,Stable / Optimal,1778047651
C,S_C_933,-15.16,-11.44,45.78,3.5,310.68,31.94,33.6,Unstable,Nitrogen Imbalance (Low),1775124451
C,S_C_156,35.22,8.47,60.84,4.45,-65.55,-1.63,18.8,Stable,Acidic Trend,1777921651
A,S_A_008,52.98,15.96,46.12,6.69,417.8,43.79,25.6,Unstable,Acidic Trend,1778454451
B,S_B_1116,53.09,45.85,53.5,5.67,948.46,40.74,27.8,Unstable,Variable Stability,1774465651
E,S_E_279,15.31,2.67,23.4,8.5,1404.75,53.74,32.4,Stable,Nitrogen Imbalance (Low),1777478851
D,S_D_785,9.0,28.36,47.91,4.5,760.37,94.32,32.6,Unstable,Acidic Trend,1775657251
D,S_D_716,-19.0,30.6,2.68,4.07,284.24,80.04,22.3,Unstable,Phosphorus Imbalance (Low),1775905651
E,S_E_468,3.59,34.86,67.87,6.86,1991.09,75.77,24.5,Stable,Nitrogen Imbalance (Low),1776798451
B,S_B_251,63.29,31.37,70.92,6.77,208.33,50.88,27.1,Unstable,Variable Stability,1777579651
B,S_B_002,50.97,30.2,60.13,6.69,112.26,66.44,23.9,Unstable,Variable Stability,1778476051
C,S_C_027,-35.03,-15.34,7.84,4.68,-336.08,78.65,33.0,Unstable,Acidic Trend,1778386051
C,S_C_249,42.48,11.24,17.89,3.5,52.47,45.55,30.8,Unstable,Acidic Trend,1777586851
B,S_B_615,38.18,12.41,43.7,5.5,481.25,65.93,24.9,Unstable,Phosphorus Imbalance (Low),1776269251
C,S_C_327,-4.73,25.01,41.22,3.5,1595.84,41.42,27.0,Unstable,Acidic Trend,1777306051
A,S_A_774,69.93,12.08,66.51,6.97,891.6,55.01,33.5,Unstable,Variable Stability,1775696851
B,S_B_1075,49.77,17.56,71.22,6.06,865.21,43.69,24.4,Stable,Stable / Optimal,1774613251
A,S_A_1012,43.59,23.31,43.7,6.07,487.02,60.07,30.0,Unstable,Nitrogen Imbalance (Low),1774840051
D,S_D_460,74.94,34.95,114.94,5.36,1343.59,85.87,19.5,Unstable,Acidic Trend,1776827251
C,S_C_1068,50.33,-11.16,54.37,5.32,409.89,11.41,44.2,Unstable,Acidic Trend,1774638451
B,S_B_792,21.61,27.99,99.17,5.78,611.84,48.69,19.7,Unstable,Nitrogen Imbalance (Low),1775632051
B,S_B_078,75.27,14.12,56.79,6.14,945.86,49.64,25.8,Unstable,Potassium Imbalance (Low),1778202451
B,S_B_584,43.6,39.07,32.61,6.32,947.12,67.51,24.9,Unstable,Potassium Imbalance (Low),1776380851
D,S_D_654,12.41,-7.49,71.92,8.5,-125.74,78.98,7.0,Unstable,Nitrogen Imbalance (Low),1776128851
A,S_A_447,60.55,24.55,34.36,6.96,359.8,41.45,29.6,Stable,Potassium Imbalance (Low),1776874051
A,S_A_881,35.23,16.94,38.06,6.86,680.43,45.58,28.6,Unstable,High Salinity Trend,1775311651
D,S_D_454,54.45,53.16,129.06,4.43,1.83,70.72,20.6,Unstable,Acidic Trend,1776848851
E,S_E_547,54.68,54.47,51.04,5.1,2216.69,86.78,28.1,Unstable,Acidic Trend,1776514051
C,S_C_328,-9.5,13.4,-4.85,3.7,-225.67,-19.77,29.1,Unstable,Acidic Trend,1777302451
C,S_C_649,37.72,12.68,-98.71,6.22,-1159.89,9.68,31.9,Unstable,Potassium Imbalance (Low),1776146851
A,S_A_782,56.33,25.47,31.98,6.0,545.98,33.66,33.8,Unstable,Potassium Imbalance (Low),1775668051
C,S_C_252,-9.23,-13.67,90.53,3.95,-181.11,10.96,41.6,Stable,Stable / Optimal,1777576051
E,S_E_1028,90.73,25.35,103.88,5.81,65.91,25.14,21.5,Unstable,Variable Stability,1774782451
B,S_B_550,49.0,26.48,78.85,7.18,321.08,47.56,26.0,Stable,Variable Stability,1776503251
B,S_B_927,49.31,8.75,77.98,6.27,340.75,75.3,28.3,Unstable,Phosphorus Imbalance (Low),1775146051
D,S_D_822,88.48,29.01,38.41,4.21,1446.68,67.61,37.9,Unstable,Acidic Trend,1775524051
C,S_C_392,-25.66,12.95,30.28,3.5,811.41,13.96,39.9,Unstable,High Salinity Trend,1777072051
C,S_C_024,80.6,-30.68,41.63,4.55,658.55,48.5,31.8,Unstable,Acidic Trend,1778396851
E,S_E_1058,76.54,24.38,75.66,6.48,881.13,24.36,7.7,Unstable,Variable Stability,1774674451
E,S_E_369,65.7,39.06,-21.58,5.75,394.99,79.25,23.0,Stable,Stable / Optimal,1777154851
A,S_A_884,51.81,26.32,40.21,6.04,377.29,55.6,20.1,Unstable,Stable / Optimal,1775300851
C,S_C_958,7.47,-37.19,59.23,3.99,972.2,6.64,37.7,Unstable,Acidic Trend,1775034451
A,S_A_1092,30.16,14.23,64.69,6.38,598.78,60.39,23.1,Stable,High Salinity Trend,1774552051
E,S_E_823,7.52,6.61,58.69,7.65,-594.69,72.49,20.8,Unstable,Nitrogen Imbalance (Low),1775520451
E,S_E_329,67.28,32.56,42.03,7.3,41.97,78.51,31.1,Unstable,Variable Stability,1777298851
A,S_A_532,25.99,6.85,29.54,5.78,465.72,56.62,32.1,Unstable,High Salinity Trend,1776568051
C,S_C_1191,-3.13,20.19,63.01,5.06,895.34,89.6,21.2,Unstable,Acidic Trend,1774195651
C,S_C_039,16.71,23.94,21.71,4.7,592.33,61.96,35.8,Unstable,Nitrogen Imbalance (Low),1778342851
E,S_E_062,-10.98,24.78,113.19,5.26,123.83,79.35,22.0,Stable,Variable Stability,1778260051
E,S_E_265,67.61,15.18,106.53,4.93,496.28,115.81,28.7,Stable,Acidic Trend,1777529251
D,S_D_356,-11.83,43.63,73.47,5.33,1227.07,37.49,17.7,Unstable,Acidic Trend,1777201651
E,S_E_167,25.96,69.01,-25.96,3.59,105.0,60.36,24.9,Unstable,Acidic Trend,1777882051
B,S_B_1091,55.81,27.5,47.07,5.75,357.48,58.96,23.0,Stable,Stable / Optimal,1774555651
B,S_B_528,18.24,21.07,53.69,4.58,455.31,27.06,23.4,Unstable,Acidic Trend,1776582451
A,S_A_611,60.81,24.35,62.55,7.09,-277.8,39.23,31.5,Unstable,Variable Stability,1776283651
A,S_A_571,46.08,14.34,69.09,7.43,714.57,66.79,26.3,Unstable,Phosphorus Imbalance (Low),1776427651
D,S_D_175,44.87,40.65,91.6,5.16,854.1,66.54,-1.0,Unstable,Acidic Trend,1777853251
B,S_B_118,37.46,32.68,54.65,6.29,523.87,55.39,26.8,Stable,High Salinity Trend,1778058451
A,S_A_344,29.71,31.73,50.26,5.94,334.74,49.94,26.4,Unstable,Nitrogen Imbalance (Low),1777244851
A,S_A_588,48.03,21.35,54.99,5.96,556.96,45.65,28.6,Stable,Stable / Optimal,1776366451
D,S_D_1078,-12.39,7.36,76.01,8.27,1537.26,66.66,41.2,Unstable,Nitrogen Imbalance (Low),1774602451
A,S_A_637,17.95,13.57,79.2,6.22,548.47,65.02,20.1,Unstable,Nitrogen Imbalance (Low),1776190051
A,S_A_435,67.16,18.93,27.2,6.99,517.47,47.56,30.7,Unstable,Acidic Trend,1776917251
B,S_B_704,22.92,27.7,65.54,5.98,472.44,32.23,31.4,Unstable,Nitrogen Imbalance (Low),1775948851
A,S_A_098,44.25,11.78,32.97,6.31,828.8,56.16,24.2,Unstable,Potassium Imbalance (Low),1778130451
E,S_E_129,29.6,26.66,39.48,8.45,-346.11,29.35,32.5,Unstable,Nitrogen Imbalance (Low),1778018851
C,S_C_1026,10.65,30.17,-0.98,4.49,758.95,-26.8,42.3,Stable,Acidic Trend,1774789651
D,S_D_821,67.35,28.66,149.33,6.26,1361.67,62.52,18.9,Unstable,Phosphorus Imbalance (Low),1775527651
B,S_B_870,50.14,31.62,77.78,5.77,560.12,24.13,28.7,Unstable,Variable Stability,1775351251
B,S_B_338,29.07,26.68,26.03,7.71,895.21,50.91,23.4,Unstable,Nitrogen Imbalance (Low),1777266451
C,S_C_807,9.89,5.12,2.68,3.5,-207.4,-0.76,24.4,Unstable,Acidic Trend,1775578051
D,S_D_947,44.38,2.44,80.34,6.49,992.03,84.25,43.0,Stable,Stable / Optimal,1775074051
D,S_D_1172,65.47,20.3,33.95,6.48,885.8,71.89,26.5,Unstable,High Salinity Trend,1774264051
C,S_C_924,5.97,1.79,9.26,3.5,85.77,56.18,38.6,Unstable,Acidic Trend,1775156851
B,S_B_318,51.01,17.2,56.73,6.4,733.32,54.94,31.5,Stable,Stable / Optimal,1777338451
A,S_A_966,55.14,24.69,76.72,5.75,486.92,37.4,24.9,Stable,Stable / Optimal,1775005651
E,S_E_476,8.24,39.54,114.68,5.75,1152.45,95.94,27.7,Unstable,Variable Stability,1776769651
A,S_A_529,20.86,26.58,66.14,6.28,776.6,45.15,32.4,Stable,Nitrogen Imbalance (Low),1776578851
A,S_A_177,13.06,16.69,12.37,6.39,981.88,49.58,23.7,Unstable,Nitrogen Imbalance (Low),1777846051
C,S_C_071,-24.2,-41.72,38.9,4.79,639.94,51.26,39.2,Unstable,Acidic Trend,1778227651
D,S_D_922,81.2,4.92,105.4,6.45,572.94,37.17,16.2,Unstable,Phosphorus Imbalance (Low),1775164051
C,S_C_1200,17.72,-12.05,5.36,5.39,20.41,3.37,50.9,Unstable,Acidic Trend,1774163251
C,S_C_602,-39.62,-46.76,-7.94,4.85,281.5,-21.86,49.8,Unstable,Acidic Trend,1776316051
E,S_E_1066,90.65,14.09,72.08,6.49,978.81,53.68,33.3,Unstable,Phosphorus Imbalance (Low),1774645651
A,S_A_573,54.37,21.61,70.99,5.68,372.19,32.51,29.0,Unstable,Stable / Optimal,1776420451
C,S_C_866,31.3,44.15,56.68,4.25,313.25,61.21,15.3,Unstable,Acidic Trend,1775365651
A,S_A_593,21.0,22.07,48.95,6.43,410.21,50.27,25.4,Unstable,Nitrogen Imbalance (Low),1776348451
E,S_E_175,58.6,14.58,56.71,5.68,1510.62,104.04,33.6,Unstable,Phosphorus Imbalance (Low),1777853251
C,S_C_663,18.52,-12.65,-32.36,4.53,-1056.56,63.07,19.7,Unstable,Variable Stability,1776096451
C,S_C_1083,63.87,13.34,-66.89,3.94,1365.44,-10.01,12.1,Unstable,Acidic Trend,1774584451
B,S_B_1175,51.57,28.03,54.78,5.71,1026.69,35.24,28.8,Unstable,Stable / Optimal,1774253251
C,S_C_665,68.15,5.82,74.11,6.42,-568.47,3.02,30.0,Stable,Phosphorus Imbalance (Low),1776089251
E,S_E_828,51.17,27.78,37.66,5.66,367.19,117.82,20.9,Stable,Variable Stability,1775502451
D,S_D_733,25.87,24.4,128.63,6.12,604.79,71.32,34.5,Unstable,High Salinity Trend,1775844451
D,S_D_057,26.35,36.17,49.97,5.83,1970.56,78.52,42.2,Unstable,Nitrogen Imbalance (Low),1778278051
B,S_B_1009,32.83,5.34,22.08,6.4,601.12,42.33,33.3,Unstable,Potassium Imbalance (Low),1774850851
D,S_D_817,41.7,25.79,43.14,5.28,440.25,63.07,40.3,Unstable,Acidic Trend,1775542051
C,S_C_093,34.99,32.33,53.38,5.49,393.1,19.45,54.9,Unstable,Phosphorus Imbalance (Low),1778148451
D,S_D_302,69.65,33.58,30.66,5.33,1654.9,100.02,23.9,Stable,Acidic Trend,1777396051
A,S_A_384,43.25,13.59,60.89,5.92,814.59,56.87,25.0,Unstable,Phosphorus Imbalance (Low),1777100851
A,S_A_853,51.92,19.1,72.88,6.67,922.4,36.33,27.6,Unstable,Nitrogen Imbalance (Low),1775412451
B,S_B_681,51.22,39.65,44.36,6.41,778.3,52.91,26.4,Unstable,Variable Stability,1776031651
A,S_A_371,38.18,32.17,91.0,6.99,633.76,43.43,25.3,Unstable,Variable Stability,1777147651
C,S_C_963,-44.92,-24.79,-43.83,5.28,564.62,-2.77,40.0,Unstable,Acidic Trend,1775016451
D,S_D_632,26.67,14.94,107.07,7.21,522.52,36.85,19.2,Unstable,High Salinity Trend,1776208051
E,S_E_405,54.51,-2.42,44.53,7.86,760.67,91.64,3.9,Stable,Stable / Optimal,1777025251
E,S_E_371,-27.65,20.19,99.34,5.56,815.97,53.88,6.6,Unstable,Acidic Trend,1777147651
E,S_E_1158,48.25,49.53,63.8,7.65,880.39,39.01,39.7,Unstable,Variable Stability,1774314451
A,S_A_1106,39.98,29.57,60.62,7.06,408.49,52.4,23.9,Stable,Stable / Optimal,1774501651
D,S_D_1085,59.29,12.93,48.65,5.22,140.88,68.2,10.6,Unstable,High Salinity Trend,1774577251
B,S_B_1162,9.79,12.14,89.25,5.57,415.3,48.65,28.0,Unstable,Nitrogen Imbalance (Low),1774300051
E,S_E_354,53.71,11.74,13.14,6.61,1446.16,59.54,31.6,Unstable,Potassium Imbalance (Low),1777208851
B,S_B_137,60.55,14.97,60.4,5.19,611.49,56.15,23.7,Stable,Nitrogen Imbalance (Low),1777990051
B,S_B_990,53.62,17.01,45.09,7.13,362.98,65.9,30.3,Unstable,Variable Stability,1774919251
E,S_E_703,56.43,32.65,103.84,8.3,787.89,-8.81,32.5,Unstable,Variable Stability,1775952451
E,S_E_604,20.74,34.56,64.03,5.12,809.61,103.08,34.6,Unstable,Variable Stability,1776308851
E,S_E_049,102.38,47.69,18.25,5.76,2610.02,99.65,40.8,Stable,Potassium Imbalance (Low),1778306851
B,S_B_1047,31.69,12.07,69.49,5.7,839.12,63.98,29.5,Unstable,Phosphorus Imbalance (Low),1774714051
E,S_E_1175,19.66,21.13,103.76,4.25,-16.85,30.14,19.5,Unstable,Acidic Trend,1774253251
E,S_E_1012,59.91,39.34,70.09,5.42,1351.29,50.46,34.3,Stable,Acidic Trend,1774840051
A,S_A_1172,37.19,11.89,40.24,7.28,309.64,50.12,25.8,Unstable,Phosphorus Imbalance (Low),1774264051
D,S_D_393,60.29,-0.64,62.09,7.56,787.74,70.17,27.4,Unstable,Phosphorus Imbalance (Low),1777068451
D,S_D_209,36.85,53.05,90.35,7.17,2900.17,106.21,23.9,Unstable,High Salinity Trend,1777730851
B,S_B_223,30.56,18.03,42.56,7.2,28.75,53.35,28.6,Unstable,Variable Stability,1777680451
C,S_C_287,47.21,10.04,54.58,5.45,-559.86,8.77,30.1,Unstable,Acidic Trend,1777450051
E,S_E_581,43.59,22.92,132.0,5.59,-181.56,40.3,38.4,Unstable,Variable Stability,1776391651
C,S_C_919,-2.42,15.15,-26.16,3.5,306.39,33.13,35.6,Stable,Acidic Trend,1775174851
E,S_E_1014,69.47,25.89,63.84,6.16,1757.16,39.92,36.3,Stable,High Salinity Trend,1774832851
E,S_E_908,4.81,20.82,102.08,5.04,411.85,49.73,28.3,Unstable,Acidic Trend,1775214451
B,S_B_265,53.05,9.26,49.15,6.51,261.67,61.39,33.3,Unstable,Phosphorus Imbalance (Low),1777529251
A,S_A_875,58.85,28.9,55.11,6.4,518.94,39.33,28.7,Stable,Stable / Optimal,1775333251
B,S_B_1098,41.78,36.83,65.2,6.57,69.94,38.94,32.8,Unstable,Variable Stability,1774530451
C,S_C_244,12.96,17.7,27.65,5.03,162.32,35.37,44.8,Unstable,Acidic Trend,1777604851
D,S_D_346,51.23,13.05,96.79,6.31,768.19,144.06,30.3,Unstable,Phosphorus Imbalance (Low),1777237651
E,S_E_391,100.06,37.94,23.96,5.58,1194.78,65.18,13.9,Unstable,Nitrogen Imbalance (Low),1777075651
B,S_B_052,69.64,22.46,101.62,6.75,178.33,55.49,25.9,Unstable,Variable Stability,1778296051
C,S_C_927,37.3,-9.95,-1.97,4.22,722.55,41.41,24.7,Unstable,Phosphorus Imbalance (Low),1775146051
